image_id,count,overlay
Q6165676,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165676_det.png
Q6165695,29,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165695_det.png
Q6165696,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165696_det.png
Q6165703,32,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165703_det.png
Q6165704,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165704_det.png
Q6165717,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165717_det.png
Q6165718,20,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165718_det.png
Q6165741,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165741_det.png
Q6165742,43,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165742_det.png
Q6165757,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165757_det.png
Q6165758,49,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165758_det.png
Q6165789,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165789_det.png
Q6165790,103,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165790_det.png
Q6165803,42,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165803_det.png
Q6165804,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165804_det.png
